description,link,price,location,bedrooms,bathrooms,area
Excellent studio for sale in Zaid East - lowest offer in the market,https://www.dubizzle.com.eg/en/ad/excellent-studio-for-sale-in-zaid-east-lowest-offer-in-the-market-ID501444549.html,"EGP 6,663,718","Zed East Compound, 6th Settlement•",1,1,70 SQM
Very distinctive apartment for sale in Hyde Park Gathering,https://www.dubizzle.com.eg/en/ad/very-distinctive-apartment-for-sale-in-hyde-park-gathering-ID501407106.html,"EGP 7,800,000","Hyde Park New Cairo Compound, 5th Settlement•",2,3,145 SQM
"A very distinctive apartment with a wonderful view in Dar Misr Al-Qarnfal, Fifth Settlement",https://www.dubizzle.com.eg/en/ad/a-very-distinctive-apartment-with-a-wonderful-view-in-dar-misr-al-qarnfal-fifth-settlement-ID501400365.html,"EGP 2,700,000","El Koronfel, 1st Settlement•",2,1,100 SQM
"A distinctive apartment with a unique view, semi-finished in Hyde Park, Fifth Settlement",https://www.dubizzle.com.eg/en/ad/a-distinctive-apartment-with-a-unique-view-semi-finished-in-hyde-park-fifth-settlement-ID501400344.html,"EGP 7,700,000","Hyde Park New Cairo Compound, 5th Settlement•",2,3,145 SQM
"Apartment for Sale in Madinaty, 168 sqm, in one of the most prestigious areas – B8, with garage and kitchen (without appliances), typical floor.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-madinaty-168-sqm-in-one-of-the-most-prestigious-areas-b8-with-garage-and-kitchen-without-appliances-typical-floor-ID502581764.html,"EGP 9,000,000","Madinaty, Cairo•",3,2,168 SQM
"220m apartment for sale in Stone Residence - semi-finished - 6,800,000 EGP",https://www.dubizzle.com.eg/en/ad/220m-apartment-for-sale-in-stone-residence-semi-finished-6800000-egp-ID502556665.html,"EGP 6,800,000","Stone Residence Compound, Katameya•",4,4,220 SQM
Duplex Altra super lux With furniture and equipment in prime location in Nasr city,https://www.dubizzle.com.eg/en/ad/duplex-altra-super-lux-with-furniture-and-equipment-in-prime-location-in-nasr-city-ID502617890.html,"EGP 11,000,000","Nasr City, Cairo•",4,5,450 SQM
lowest DP- apt rtm resale on lagoon finished -PHNC,https://www.dubizzle.com.eg/en/ad/lowest-dp-apt-rtm-resale-on-lagoon-finished-phnc-ID502620565.html,"EGP 15,435,000","Palm Hills New Cairo Compound, 5th Settlement•",3,3,172 SQM
Fully Finished penthouse in Marassem golden square,https://www.dubizzle.com.eg/en/ad/fully-finished-penthouse-in-marassem-golden-square-ID502525253.html,"EGP 12,500,000","Fifth Square Compound, 5th Settlement•",2,3,180 SQM
Excellent duplex not finished in the ninth neighborhood of Al Obour City,https://www.dubizzle.com.eg/en/ad/excellent-duplex-not-finished-in-the-ninth-neighborhood-of-al-obour-city-ID501396147.html,"EGP 4,000,000","New Obour City, Obour City•",4,2,420 SQM
Apartment for sale finished in Green Square - Future City,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-finished-in-green-square-future-city-ID501315977.html,"EGP 4,950,000","Green Square, Mostakbal City•",3,2,135 SQM
"Excellent duplex, semi-finished, 420 sqm, Ninth Al-Abour",https://www.dubizzle.com.eg/en/ad/excellent-duplex-semi-finished-420-sqm-ninth-al-abour-ID501271668.html,"EGP 3,999,000","Obour City, Cairo•",6,4,420 SQM
شقة للبيع ممتازة ناصية فيو رائع - دار مصر الاندلس,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-%D9%86%D8%A7%D8%B5%D9%8A%D8%A9-%D9%81%D9%8A%D9%88-%D8%B1%D8%A7%D8%A6%D8%B9-%D8%AF%D8%A7%D8%B1-%D9%85%D8%B5%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AF%D9%84%D8%B3-ID501271289.html,"EGP 3,400,000","Al Andalous, New Cairo•",3,3,140 SQM
Ground floor apartment for sale - Dar Misr Al-Qornfol,https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-for-sale-dar-misr-al-qornfol-ID501270838.html,"EGP 2,750,000","El Koronfel, 1st Settlement•",2,1,100 SQM
Roof for sale in the most prestigious neighborhoods of the First Settlement in South Academy at the lowest cash and installment price.,https://www.dubizzle.com.eg/en/ad/roof-for-sale-in-the-most-prestigious-neighborhoods-of-the-first-settlement-in-south-academy-at-the-lowest-cash-and-installment-price-ID502647357.html,"EGP 5,000,000","South of Academy, 5th Settlement•",3,2,200 SQM
"Apartment for sale, immediate delivery, fully finished | Or with a 5% down payment and installments up to 15 years, built in the French style * Garden",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-immediate-delivery-fully-finished-or-with-a-5-down-payment-and-installments-up-to-15-years-built-in-the-french-style-garden-ID502647381.html,"EGP 4,300,000","New Garden City, New Capital City•",2,2,128 SQM
With a 25% cash discount an apartment for sale with Ready To Move  in the most upscale compound in the Fifth Settlement in the Stone Residence,https://www.dubizzle.com.eg/en/ad/with-a-25-cash-discount-an-apartment-for-sale-with-ready-to-move-in-the-most-upscale-compound-in-the-fifth-settlement-in-the-stone-residence-ID502647400.html,"EGP 6,800,000","Stone Residence Compound, Katameya•",3,3,140 SQM
Apartment for sale in SwanLake Residences by Hassan Allam,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-swanlake-residences-by-hassan-allam-ID502641912.html,"EGP 13,000,000","Swan Lake Residences, 1st Settlement•",2,3,127 SQM
Apartment for sale Ready to move Fully Finished in El Burouj,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-ready-to-move-fully-finished-in-el-burouj-ID502647394.html,"EGP 5,500,000","Al Burouj, Shorouk City•",3,3,253 SQM
"Apartment for sale in South Academy, Fifth Settlement, Wide Garden View, High Super Lux Finishing, Near Cairo Festival City",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-south-academy-fifth-settlement-wide-garden-view-high-super-lux-finishing-near-cairo-festival-city-ID502647392.html,"EGP 9,000,000","South of Academy, 5th Settlement•",3,3,220 SQM
Apartment For Sale 2 BR Fully Finished Ready to move With DP 530k,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-2-br-fully-finished-ready-to-move-with-dp-530k-ID502645315.html,"EGP 5,300,000","Arabesque, El Fostat•",2,2,128 SQM
"Resale with zero over in a very prime location, RTM.",https://www.dubizzle.com.eg/en/ad/resale-with-zero-over-in-a-very-prime-location-rtm-ID502619518.html,"EGP 6,150,000","Creek Town Compound, 5th Settlement•",2,3,130 SQM
Prime Studio with Garden – Zed East Ora,https://www.dubizzle.com.eg/en/ad/prime-studio-with-garden-zed-east-ora-ID502605047.html,"EGP 6,010,000","Zed East Compound, 6th Settlement•",1,1,60 SQM
"Apartment for sale in Lotus, Fifth Settlement, in front of the American University",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-lotus-fifth-settlement-in-front-of-the-american-university-ID502493332.html,"EGP 5,000,000","El Lotus, 5th Settlement•",3,3,175 SQM
Duplex in a fully finished ultra-modern garden ready for sale in Al-Borg Compound,https://www.dubizzle.com.eg/en/ad/duplex-in-a-fully-finished-ultra-modern-garden-ready-for-sale-in-al-borg-compound-ID502424619.html,"EGP 17,722,000","Al Burouj, Shorouk City•",3,2,277 SQM
"Resale | Immediate Delivery Apartment in iCity New Cairo | 120 sqm | 2BR + Terrace | Prime View | Lowest Down Payment, without over price",https://www.dubizzle.com.eg/en/ad/resale-immediate-delivery-apartment-in-icity-new-cairo-120-sqm-2br-terrace-prime-view-lowest-down-payment-without-over-price-ID502647384.html,"EGP 8,800,000","Mountain View iCity Compound, 5th Settlement•",2,2,120 SQM
"A rare opportunity to own a luxury apartment in the most prestigious areas of Madinaty – B10 | 165 m² In the heart of Madinaty, in the distinguished B",https://www.dubizzle.com.eg/en/ad/a-rare-opportunity-to-own-a-luxury-apartment-in-the-most-prestigious-areas-of-madinaty-b10-165-m2-in-the-heart-of-madinaty-in-the-distinguished-b-ID502647382.html,"EGP 9,000,000","Madinaty, Cairo•",3,3,165 SQM
"4-bedroom apartment for sale, immediate delivery in the Administrative Capital, at less than its original price",https://www.dubizzle.com.eg/en/ad/4-bedroom-apartment-for-sale-immediate-delivery-in-the-administrative-capital-at-less-than-its-original-price-ID502647297.html,"EGP 6,271,925","BOARDWALK, New Capital City•",4,3,226 SQM
Apartment for sale in Al Maqsad,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-al-maqsad-ID502641447.html,"EGP 4,760,000","Al Maqsad, New Capital City•",2,3,157 SQM
شقة بسعرلقطة فاخرة تشطيب فندقى تطل على عباس العقاد,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D8%A8%D8%B3%D8%B9%D8%B1%D9%84%D9%82%D8%B7%D8%A9-%D9%81%D8%A7%D8%AE%D8%B1%D8%A9-%D8%AA%D8%B4%D8%B7%D9%8A%D8%A8-%D9%81%D9%86%D8%AF%D9%82%D9%89-%D8%AA%D8%B7%D9%84-%D8%B9%D9%84%D9%89-%D8%B9%D8%A8%D8%A7%D8%B3-%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%AF-ID206041480.html,"EGP 7,800,000","Nasr City, Cairo•",3,2,164 SQM
Duplex with garden available for immediate delivery for sale on the Suez Road next to Al Rehab City directly,https://www.dubizzle.com.eg/en/ad/duplex-with-garden-available-for-immediate-delivery-for-sale-on-the-suez-road-next-to-al-rehab-city-directly-ID502294323.html,"EGP 16,575,000","Creek Town Compound, 5th Settlement•",3,2,195 SQM
Delivered apartment for sale fully finished in banafseg,https://www.dubizzle.com.eg/en/ad/delivered-apartment-for-sale-fully-finished-in-banafseg-ID501818855.html,"EGP 7,200,000","Banafsag Omarat, 5th Settlement•",3,2,200 SQM
 Apartment for Sale in Madinaty – B12,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-madinaty-b12-ID502647375.html,"EGP 12,900,000","Madinaty, Cairo•",3,3,200 SQM
Apartment for sale in Madinaty B12 Ground floor 190m + 70m private garden at a very special price,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-madinaty-b12-ground-floor-190m-70m-private-garden-at-a-very-special-price-ID502647373.html,"EGP 12,100,000","Madinaty, Cairo•",4,3,260 SQM
Ready to move Apartment prime location with lowest price for sale in phase club park at compound Mountain view icity  near Fifth square New cairo,https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-prime-location-with-lowest-price-for-sale-in-phase-club-park-at-compound-mountain-view-icity-near-fifth-square-new-cairo-ID502647366.html,"EGP 6,500,000","Mountain View iCity Compound, 5th Settlement•",3,3,170 SQM
Penthouse in mountain view 4 bedroom in the heart of golden square,https://www.dubizzle.com.eg/en/ad/penthouse-in-mountain-view-4-bedroom-in-the-heart-of-golden-square-ID502645497.html,"EGP 16,912,830","Mountain View iCity Compound, 5th Settlement•",4,3,205 SQM
"Apartment for sale 182m in the First Settlement, General Security Area or Yasmin currently - New Cairo",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-182m-in-the-first-settlement-general-security-area-or-yasmin-currently-new-cairo-ID502647362.html,"EGP 8,500,000","Al Amn Al Aam, 1st Settlement•",3,2,182 SQM
Duplex for Sale – 270 sqm in El Shorouk City (Ground & First Floor).,https://www.dubizzle.com.eg/en/ad/duplex-for-sale-270-sqm-in-el-shorouk-city-ground-first-floor-ID502647364.html,"EGP 3,600,000","Shorouk City, Cairo•",4,3,270 SQM
For Sale in Madinaty – B6 An apartment of 97 sqm overlooking a park A few steps from the services area Finished by Talaat Moustafa,https://www.dubizzle.com.eg/en/ad/for-sale-in-madinaty-b6-an-apartment-of-97-sqm-overlooking-a-park-a-few-steps-from-the-services-area-finished-by-talaat-moustafa-ID502647355.html,"EGP 4,150,000","Madinaty, Cairo•",2,2,97 SQM
فرصة لقطة بسعر متر 40 ألف فقط شقة 148 متر 3 غرف نوم للبيع بموقع مميز بالمرحلة الرابعة بمدينة الرحاب,https://www.dubizzle.com.eg/en/ad/%D9%81%D8%B1%D8%B5%D8%A9-%D9%84%D9%82%D8%B7%D8%A9-%D8%A8%D8%B3%D8%B9%D8%B1-%D9%85%D8%AA%D8%B1-40-%D8%A3%D9%84%D9%81-%D9%81%D9%82%D8%B7-%D8%B4%D9%82%D8%A9-148-%D9%85%D8%AA%D8%B1-3-%D8%BA%D8%B1%D9%81-%D9%86%D9%88%D9%85-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%85%D9%88%D9%82%D8%B9-%D9%85%D9%85%D9%8A%D8%B2-%D8%A8%D8%A7%D9%84%D9%85%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%B1%D8%A7%D8%A8%D8%B9%D8%A9-%D8%A8%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B1%D8%AD%D8%A7%D8%A8-ID502594973.html,"EGP 6,200,000","Rehab City Compound, New Cairo•",3,2,148 SQM
"Apartment for sale in SODIC East New Heliopolis, fully finished",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-sodic-east-new-heliopolis-fully-finished-ID502299518.html,"EGP 10,000,000","Sodic East, New Heliopolis•",2,2,125 SQM
Apartment for sale Fully finished in New Garden City,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-fully-finished-in-new-garden-city-ID501487756.html,"EGP 3,000,000","New Garden City, New Capital City•",1,2,84 SQM
Apartment for sale in Villette by SODIC,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-villette-by-sodic-ID502641833.html,"EGP 10,800,000","Villette Compound, 5th Settlement•",2,3,160 SQM
"At the old price, a 39-square-meter apartment with a private garden, immediate delivery, resale from the owner in the heart of the Administrative Capi",https://www.dubizzle.com.eg/en/ad/at-the-old-price-a-39-square-meter-apartment-with-a-private-garden-immediate-delivery-resale-from-the-owner-in-the-heart-of-the-administrative-capi-ID502647349.html,"EGP 4,300,000","IL Bosco, New Capital City•",2,2,114 SQM
"Ready to move Apartment for sale with full finishing | Or with a 5% down payment and installments up to 15 years, built in the French st",https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-for-sale-with-full-finishing-or-with-a-5-down-payment-and-installments-up-to-15-years-built-in-the-french-st-ID502647333.html,"EGP 6,000,000","New Garden City, New Capital City•",1,1,108 SQM
"Fully Finished Apartment For Sale In Sodic Eastown Compound ,Prime View",https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-for-sale-in-sodic-eastown-compound-prime-view-ID502647063.html,"EGP 15,150,000","Eastown Compound, 5th Settlement•",3,4,210 SQM
"With a down payment of 314 thousand, own a fully finished studio in New Heliopolis",https://www.dubizzle.com.eg/en/ad/with-a-down-payment-of-314-thousand-own-a-fully-finished-studio-in-new-heliopolis-ID502640649.html,"EGP 3,140,000","Talala, New Heliopolis•",1,1,35 SQM
"With a down payment of 544 thousand, own a 115-square-meter apartment in the Fifth Settlement",https://www.dubizzle.com.eg/en/ad/with-a-down-payment-of-544-thousand-own-a-115-square-meter-apartment-in-the-fifth-settlement-ID502640836.html,"EGP 5,440,000","The Icon Residence Compound, 5th Settlement•",2,1,115 SQM
"For lovers of the ground, a unique apartment for sale in Rehab City 2 - New Cairo",https://www.dubizzle.com.eg/en/ad/for-lovers-of-the-ground-a-unique-apartment-for-sale-in-rehab-city-2-new-cairo-ID502589235.html,"EGP 7,900,000","Rehab City Compound, New Cairo•",3,3,155 SQM
Under Market Price Landscape View Ready to Move with Big Garden I Villa for sale in Mountain View Hyde Park,https://www.dubizzle.com.eg/en/ad/under-market-price-landscape-view-ready-to-move-with-big-garden-i-villa-for-sale-in-mountain-view-hyde-park-ID502645325.html,"EGP 13,000,000","Mountain View Hyde Park Compound, 5th Settlement•",3,3,235 SQM
Apartment Penthouse with Private Pool Ready for Viewing in Lake View Residence- Special Price - New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-penthouse-with-private-pool-ready-for-viewing-in-lake-view-residence-special-price-new-cairo-ID502600878.html,"EGP 30,000,000","Lake view Residence Compound, 5th Settlement•",4,5,265 SQM
Apartment for sale in Al Rehab City,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-al-rehab-city-ID502644468.html,"EGP 8,700,000","Rehab City Compound, New Cairo•",3,3,182 SQM
Penthouse For Sale in Mountain View Hyde Park,https://www.dubizzle.com.eg/en/ad/penthouse-for-sale-in-mountain-view-hyde-park-ID502604761.html,"EGP 11,500,000","Mountain View Hyde Park Compound, 5th Settlement•",2,3,166 SQM
Apartment with no down payment ready for viewing and near delivery semi finished for sale in 5th Settlement El Patio Oro Compound La Vista,https://www.dubizzle.com.eg/en/ad/apartment-with-no-down-payment-ready-for-viewing-and-near-delivery-semi-finished-for-sale-in-5th-settlement-el-patio-oro-compound-la-vista-ID502610501.html,"EGP 3,500,000","EL Patio ORO Compound, 5th Settlement•",3,2,165 SQM
"Very special apartment in the field for sale in the southern lotus, the fifth settlement in front of the ninety street",https://www.dubizzle.com.eg/en/ad/very-special-apartment-in-the-field-for-sale-in-the-southern-lotus-the-fifth-settlement-in-front-of-the-ninety-street-ID502502699.html,"EGP 4,500,000","El Lotus, 5th Settlement•",3,2,158 SQM
Apartment for sale Ready to move in New Garden City New Capital,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-ready-to-move-in-new-garden-city-new-capital-ID501911219.html,"EGP 4,300,000","New Garden City, New Capital City•",2,2,128 SQM
Apartment for sale Fully finished Ready to move in New Garden City New Capital,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-fully-finished-ready-to-move-in-new-garden-city-new-capital-ID501911154.html,"EGP 6,100,000","New Garden City, New Capital City•",3,3,192 SQM
Apartment for sale prime location in the square new cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-prime-location-in-the-square-new-cairo-ID501780653.html,"EGP 5,500,000","The Square Compound, 5th Settlement•",2,3,136 SQM
Finished duplex for sale in Reportage. Delivery within one year.,https://www.dubizzle.com.eg/en/ad/finished-duplex-for-sale-in-reportage-delivery-within-one-year-ID502645450.html,"EGP 8,480,000","Monte Napoleon, Mostakbal City•",2,3,165 SQM
Semi furnished apartment 3rooms + Maid's room sale Sodic Katameya Plaza CompoundNew Cairo,https://www.dubizzle.com.eg/en/ad/semi-furnished-apartment-3rooms-maids-room-sale-sodic-katameya-plaza-compoundnew-cairo-ID502647331.html,"EGP 15,500,000","Katameya Plaza Compound, 1st Settlement•",3,5,245 SQM
